transcript_Id,Interviewer,Child,Sentiment (window size 3 / 0.4 threshold)
NA0018-M7,HM-HM,And I told her that I don’t want to go back to Janet’s house anymore,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.4701128602027893, 0.19458480179309845, 0.17530062794685364, 0.1600017100572586]}"
NA0018-M7,OKAY AND WHAT HAPPENED WHEN YOU TOLD YOUR MUMMY YOU DIDN’T WANT TO GO TO JANET’S HOUSE ANYMORE,She just asked me why,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore. She just asked me why', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.4468750059604645, 0.22768905758857727, 0.18859951198101044, 0.1368364542722702]}"
NA0018-M7,HM-HM,And I just said because Janet’s pop he touched me and I didn’t like it,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore. She just asked me why. And I just said because Janet’s pop he touched me and I didn’t like it', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.3474492132663727, 0.3073764145374298, 0.22275933623313904, 0.12241500616073608]}"
NA0060-PC,SO TELL ME HOW OLD MARK IS,He’s 17,"{'sequence': 'He’s 17', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.3989177346229553, 0.23432546854019165, 0.1943744421005249, 0.17238233983516693]}"
NA0060-PC,SARAH TELL ME THE LAST TIME YOU SAW MARK,I think it was last week,"{'sequence': 'He’s 17. I think it was last week', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.32368043065071106, 0.24965257942676544, 0.2428830862045288, 0.1837838888168335]}"
NA0060-PC,TELL ME SARAH TELL ME ABOUT WHEN YOU LAST SAW MARK WHERE YOU WERE THINGS LIKE THAT,I came home from school and he was looking after me and he started saying nasty things to me,"{'sequence': 'I came home from school and he was looking after me and he started saying nasty things to me', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.6805468797683716, 0.14412671327590942, 0.13480570912361145, 0.04052070528268814]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.9451865553855896, 0.021004293113946915, 0.018438275903463364, 0.01537083089351654]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'enjoyment', 'sadness', 'fear'], 'scores': [0.7517356276512146, 0.093869149684906, 0.08738241344690323, 0.06701284646987915]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'Yeah and it made this big red mark on the wall', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.6899473667144775, 0.13727085292339325, 0.10434359312057495, 0.06843815743923187]}"
NA0077-PC,OKAY SO WHEN POP GRABBED YOUR GIRLIE BITS WAS IT FOR A SHORT TIME OR A LONG TIME,For a short time,"{'sequence': 'For a short time', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.44077974557876587, 0.18920190632343292, 0.18837635219097137, 0.1816420704126358]}"
NA0077-PC,FOR A SHORT TIME OKAY AND DID POP SAY ANYTHING,No,"{'sequence': 'No', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.47002312541007996, 0.21263964474201202, 0.16136635839939117, 0.15597082674503326]}"
NA0077-PC,OKAY SO TELL ME MORE ABOUT WHEN POP GRABBED YOU ON THE GIRLIE BITS,He just was sitting next to me and then he put his hand down and I could feel it there,"{'sequence': 'No. He just was sitting next to me and then he put his hand down and I could feel it there', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.3977595865726471, 0.21010860800743103, 0.19904710352420807, 0.1930847018957138]}"
NA0098-PC,OH OKAY YEAH,And then he put something into my bottom,"{'sequence': 'And then he put something into my bottom', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.35630014538764954, 0.30220067501068115, 0.19344931840896606, 0.14804993569850922]}"
NA0098-PC,YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,And then it really hurt and I started crying,"{'sequence': 'And then it really hurt and I started crying', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.945637583732605, 0.03211439400911331, 0.01201733760535717, 0.010230773128569126]}"
NA0098-PC,OKAY DID ANYTHING ELSE HAPPEN,Yes he pulled it out and put it back in a few times,"{'sequence': 'And then it really hurt and I started crying. Yes he pulled it out and put it back in a few times', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.8361752033233643, 0.11962567269802094, 0.02394663542509079, 0.020252514630556107]}"
NA0052-PC,NOTHING AND WHAT WERE YOU DOING,Crying,"{'sequence': 'Crying', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.8522714376449585, 0.09787022322416306, 0.027532188221812248, 0.02232620120048523]}"
NA0052-PC,OKAY AND THEN WHAT HAPPENED WHEN HE’S HIT YOU A HUNDRED TIMES,Then he left,"{'sequence': 'Crying. Then he left', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.9130828976631165, 0.07090459018945694, 0.008100268431007862, 0.007912199944257736]}"
NA0052-PC,HE DID WHAT SORRY,He left,"{'sequence': 'He left', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.5041512250900269, 0.22841301560401917, 0.1520146131515503, 0.11542121320962906]}"
NA0079-PC,LAST NAME,It’s Brown,"{'sequence': 'It’s Brown', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.3692244589328766, 0.23308229446411133, 0.2237090766429901, 0.17398418486118317]}"
NA0079-PC,OKAY OKAY SO DAD’S NAME IS LEWIS BROWN OKAY AND WHEN DID YOU LAST SEE DADDY,About two weeks ago,"{'sequence': 'About two weeks ago', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.40608081221580505, 0.235390767455101, 0.18777260184288025, 0.1707558035850525]}"
NA0079-PC,TWO WEEKS OKAY OKAY AND DID YOU SEE DADDY AFTER THAT,No,"{'sequence': 'No', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.47002312541007996, 0.21263964474201202, 0.16136635839939117, 0.15597082674503326]}"
NA0002-PC,AT LUNCHTIME AND TELL ME EVERYTHING THAT HAPPENS WHEN YOU GO INTO THE TOILET WITH DANIEL AT LUNCHTIME RIGHT FROM THE BEGINNING WHEN YOU FIRST GO INTO THE TOILET WHAT HAPPENS,Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.496734082698822, 0.2354772537946701, 0.146910160779953, 0.12087850272655487]}"
NA0002-PC,OKAY AND THEN WHAT HAPPENED AFTER THAT,When we got in the toilet one of the teachers he came in,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together. When we got in the toilet one of the teachers he came in', 'labels': ['fear', 'enjoyment', 'anger', 'sadness'], 'scores': [0.3291064202785492, 0.3043235242366791, 0.2068735808134079, 0.15969648957252502]}"
NA0002-PC,HM-HM,And he told us that he wanted to teach us a new game,"{'sequence': 'And he told us that he wanted to teach us a new game', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.7191739678382874, 0.10191237181425095, 0.0939340740442276, 0.08497961610555649]}"
NA0082-PC,OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,Work,"{'sequence': 'Work', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.28809815645217896, 0.25161221623420715, 0.2308093011379242, 0.22948038578033447]}"
NA0082-PC,AT WORK OKAY AND WHY WAS MARK THERE,To play,"{'sequence': 'To play', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.9225742220878601, 0.044025007635354996, 0.01740100607275963, 0.015999797731637955]}"
NA0082-PC,TO PLAY OKAY OKAY SO YOU’VE TOLD ME QUITE A BIT LET ME JUST DOUBLE-CHECK THAT I’VE GOT ALL OF THAT RIGHT SO MARK WAS WITH YOU AND YOU WERE PLAYING NINTENDO AND YOU STOOD UP AND BROKE THE CONTROLLER AND THEN HE GOT ANGRY AT YOU FOR THAT SO YOU WENT TO THE GARDEN AND GOT A STICK AND THEN HE HIT YOU WITH IT LOTS OF TIMES AND THEN AFTER THAT HE JUST LEFT AND HE TOLD YOU NOT TO TELL ANYONE,Yes,"{'sequence': 'Yes', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.49521011114120483, 0.1819244772195816, 0.16202308237552643, 0.16084232926368713]}"
NA0006-PC ,DID HE SAY ANYTHING ELSE TO YOU,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5909422636032104, 0.16306021809577942, 0.1298425793647766, 0.11615494638681412]}"
NA0006-PC ,TELL ME WHAT HE SAID,He just said that his job was to help all the little girls in the toilet,"{'sequence': 'He just said that his job was to help all the little girls in the toilet', 'labels': ['sadness', 'anger', 'enjoyment', 'fear'], 'scores': [0.4238845407962799, 0.1951502412557602, 0.1917654573917389, 0.18919970095157623]}"
NA0006-PC ,YEAH,And he said that he has to help me,"{'sequence': 'He just said that his job was to help all the little girls in the toilet. And he said that he has to help me', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.3727416694164276, 0.23309168219566345, 0.2010074257850647, 0.19315920770168304]}"
NA0064-PC,YEAH WHAT MAKES YOU FEEL UNSAFE,When Sam makes us go into the toilet,"{'sequence': 'When Sam makes us go into the toilet', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.38915765285491943, 0.24882802367210388, 0.24588440358638763, 0.11612989753484726]}"
NA0064-PC,OKAY HOW DOES HE MAKE YOU,I don’t know,"{'sequence': 'When Sam makes us go into the toilet. I don’t know', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.3847706615924835, 0.2338617593050003, 0.22487773001194, 0.1564897745847702]}"
NA0064-PC,DON’T KNOW WHEN HE ASKS YOU TO GO INTO THE TOILET DOES HE SAY ANYTHING TO YOU WHAT DOES HE SAY,He said that we have to go in or he’ll bully us at lunchtime,"{'sequence': 'He said that we have to go in or he’ll bully us at lunchtime', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.6304876208305359, 0.24696487188339233, 0.09403669834136963, 0.028510799631476402]}"
NA0052-PC,NOW RIGHT AT THAT POINT WHERE MARK IS LOOKING ANGRY TELL ME EVERYTHING THAT HAPPENED FROM THAT POINT TILL THE POINT WHERE HE’S ASKED YOU TO LIE DOWN ON YOUR TUMMY TELL ME WHAT HE SAID AND WHERE YOU WERE,He told me to go to my room and lie down on my tummy,"{'sequence': 'He told me to go to my room and lie down on my tummy', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.29722127318382263, 0.26445272564888, 0.2626853287220001, 0.17564061284065247]}"
NA0052-PC,OKAY AND WHEN YOU LAID DOWN ON YOUR TUMMY WHERE WAS THAT,On my bed,"{'sequence': 'On my bed', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.47006988525390625, 0.18580038845539093, 0.1790257692337036, 0.1651039868593216]}"
NA0052-PC,ON YOUR BED AND WHAT DID YOU THINK ABOUT THAT,I was scared,"{'sequence': 'I was scared', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.989471435546875, 0.005174707155674696, 0.0028096316382288933, 0.0025442135520279408]}"
