transcript_Id,Interviewer,Child,Sentiment (window size 3 / no threshold)
NA0018-M7,HM-HM,And I told her that I don’t want to go back to Janet’s house anymore,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.4701128602027893, 0.19458480179309845, 0.17530062794685364, 0.1600017100572586]}"
NA0018-M7,OKAY AND WHAT HAPPENED WHEN YOU TOLD YOUR MUMMY YOU DIDN’T WANT TO GO TO JANET’S HOUSE ANYMORE,She just asked me why,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore. She just asked me why', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.4468750059604645, 0.22768905758857727, 0.18859951198101044, 0.1368364542722702]}"
NA0018-M7,HM-HM,And I just said because Janet’s pop he touched me and I didn’t like it,"{'sequence': 'And I told her that I don’t want to go back to Janet’s house anymore. She just asked me why. And I just said because Janet’s pop he touched me and I didn’t like it', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.3474492132663727, 0.3073764145374298, 0.22275933623313904, 0.12241500616073608]}"
NA0060-PC,SO TELL ME HOW OLD MARK IS,He’s 17,"{'sequence': 'He’s 17', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.3989177346229553, 0.23432546854019165, 0.1943744421005249, 0.17238233983516693]}"
NA0060-PC,SARAH TELL ME THE LAST TIME YOU SAW MARK,I think it was last week,"{'sequence': 'He’s 17. I think it was last week', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.32368043065071106, 0.24965257942676544, 0.2428830862045288, 0.1837838888168335]}"
NA0060-PC,TELL ME SARAH TELL ME ABOUT WHEN YOU LAST SAW MARK WHERE YOU WERE THINGS LIKE THAT,I came home from school and he was looking after me and he started saying nasty things to me,"{'sequence': 'He’s 17. I think it was last week. I came home from school and he was looking after me and he started saying nasty things to me', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.6434032917022705, 0.17561691999435425, 0.1369214653968811, 0.044058285653591156]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.9451865553855896, 0.021004293113946915, 0.018438275903463364, 0.01537083089351654]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.9356991648674011, 0.032621171325445175, 0.019345656037330627, 0.012334042228758335]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.9331004619598389, 0.026083514094352722, 0.02271883934736252, 0.018097175285220146]}"
NA0077-PC,OKAY SO WHEN POP GRABBED YOUR GIRLIE BITS WAS IT FOR A SHORT TIME OR A LONG TIME,For a short time,"{'sequence': 'For a short time', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.44077974557876587, 0.18920190632343292, 0.18837635219097137, 0.1816420704126358]}"
NA0077-PC,FOR A SHORT TIME OKAY AND DID POP SAY ANYTHING,No,"{'sequence': 'For a short time. No', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.3671184182167053, 0.2423630952835083, 0.20259365439414978, 0.1879248321056366]}"
NA0077-PC,OKAY SO TELL ME MORE ABOUT WHEN POP GRABBED YOU ON THE GIRLIE BITS,He just was sitting next to me and then he put his hand down and I could feel it there,"{'sequence': 'For a short time. No. He just was sitting next to me and then he put his hand down and I could feel it there', 'labels': ['enjoyment', 'anger', 'sadness', 'fear'], 'scores': [0.3662682771682739, 0.2145291268825531, 0.21040897071361542, 0.20879361033439636]}"
NA0098-PC,OH OKAY YEAH,And then he put something into my bottom,"{'sequence': 'And then he put something into my bottom', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.35630014538764954, 0.30220067501068115, 0.19344931840896606, 0.14804993569850922]}"
NA0098-PC,YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,And then it really hurt and I started crying,"{'sequence': 'And then he put something into my bottom. And then it really hurt and I started crying', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.9015564322471619, 0.07106778770685196, 0.013905905187129974, 0.013469897210597992]}"
NA0098-PC,OKAY DID ANYTHING ELSE HAPPEN,Yes he pulled it out and put it back in a few times,"{'sequence': 'And then he put something into my bottom. And then it really hurt and I started crying. Yes he pulled it out and put it back in a few times', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.8015676736831665, 0.15021950006484985, 0.025396713986992836, 0.022816183045506477]}"
NA0052-PC,NOTHING AND WHAT WERE YOU DOING,Crying,"{'sequence': 'Crying', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.8522714376449585, 0.09787022322416306, 0.027532188221812248, 0.02232620120048523]}"
NA0052-PC,OKAY AND THEN WHAT HAPPENED WHEN HE’S HIT YOU A HUNDRED TIMES,Then he left,"{'sequence': 'Crying. Then he left', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.9130828976631165, 0.07090459018945694, 0.008100268431007862, 0.007912199944257736]}"
NA0052-PC,HE DID WHAT SORRY,He left,"{'sequence': 'Crying. Then he left. He left', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.9228403568267822, 0.0646481066942215, 0.0064833196811378, 0.006028294563293457]}"
NA0079-PC,LAST NAME,It’s Brown,"{'sequence': 'It’s Brown', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.3692244589328766, 0.23308229446411133, 0.2237090766429901, 0.17398418486118317]}"
NA0079-PC,OKAY OKAY SO DAD’S NAME IS LEWIS BROWN OKAY AND WHEN DID YOU LAST SEE DADDY,About two weeks ago,"{'sequence': 'It’s Brown. About two weeks ago', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.361574649810791, 0.2702532708644867, 0.19459891319274902, 0.17357321083545685]}"
NA0079-PC,TWO WEEKS OKAY OKAY AND DID YOU SEE DADDY AFTER THAT,No,"{'sequence': 'It’s Brown. About two weeks ago. No', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.32283806800842285, 0.2617205083370209, 0.22920694947242737, 0.1862344890832901]}"
NA0002-PC,AT LUNCHTIME AND TELL ME EVERYTHING THAT HAPPENS WHEN YOU GO INTO THE TOILET WITH DANIEL AT LUNCHTIME RIGHT FROM THE BEGINNING WHEN YOU FIRST GO INTO THE TOILET WHAT HAPPENS,Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.496734082698822, 0.2354772537946701, 0.146910160779953, 0.12087850272655487]}"
NA0002-PC,OKAY AND THEN WHAT HAPPENED AFTER THAT,When we got in the toilet one of the teachers he came in,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together. When we got in the toilet one of the teachers he came in', 'labels': ['fear', 'enjoyment', 'anger', 'sadness'], 'scores': [0.3291064202785492, 0.3043235242366791, 0.2068735808134079, 0.15969648957252502]}"
NA0002-PC,HM-HM,And he told us that he wanted to teach us a new game,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together. When we got in the toilet one of the teachers he came in. And he told us that he wanted to teach us a new game', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.48907867074012756, 0.24044941365718842, 0.1739102154970169, 0.09656171500682831]}"
NA0082-PC,OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,Work,"{'sequence': 'Work', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.28809815645217896, 0.25161221623420715, 0.2308093011379242, 0.22948038578033447]}"
NA0082-PC,AT WORK OKAY AND WHY WAS MARK THERE,To play,"{'sequence': 'Work. To play', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.7864432334899902, 0.0765630453824997, 0.07024333626031876, 0.06675034016370773]}"
NA0082-PC,TO PLAY OKAY OKAY SO YOU’VE TOLD ME QUITE A BIT LET ME JUST DOUBLE-CHECK THAT I’VE GOT ALL OF THAT RIGHT SO MARK WAS WITH YOU AND YOU WERE PLAYING NINTENDO AND YOU STOOD UP AND BROKE THE CONTROLLER AND THEN HE GOT ANGRY AT YOU FOR THAT SO YOU WENT TO THE GARDEN AND GOT A STICK AND THEN HE HIT YOU WITH IT LOTS OF TIMES AND THEN AFTER THAT HE JUST LEFT AND HE TOLD YOU NOT TO TELL ANYONE,Yes,"{'sequence': 'Work. To play. Yes', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.8534647226333618, 0.055562492460012436, 0.04591963440179825, 0.0450531542301178]}"
NA0006-PC ,DID HE SAY ANYTHING ELSE TO YOU,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.5909422636032104, 0.16306021809577942, 0.1298425793647766, 0.11615494638681412]}"
NA0006-PC ,TELL ME WHAT HE SAID,He just said that his job was to help all the little girls in the toilet,"{'sequence': 'Yeah. He just said that his job was to help all the little girls in the toilet', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.3575015068054199, 0.24028831720352173, 0.20733100175857544, 0.1948791742324829]}"
NA0006-PC ,YEAH,And he said that he has to help me,"{'sequence': 'Yeah. He just said that his job was to help all the little girls in the toilet. And he said that he has to help me', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.3418000340461731, 0.25951915979385376, 0.20950178802013397, 0.18917903304100037]}"
NA0064-PC,YEAH WHAT MAKES YOU FEEL UNSAFE,When Sam makes us go into the toilet,"{'sequence': 'When Sam makes us go into the toilet', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.38915765285491943, 0.24882802367210388, 0.24588440358638763, 0.11612989753484726]}"
NA0064-PC,OKAY HOW DOES HE MAKE YOU,I don’t know,"{'sequence': 'When Sam makes us go into the toilet. I don’t know', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.3847706615924835, 0.2338617593050003, 0.22487773001194, 0.1564897745847702]}"
NA0064-PC,DON’T KNOW WHEN HE ASKS YOU TO GO INTO THE TOILET DOES HE SAY ANYTHING TO YOU WHAT DOES HE SAY,He said that we have to go in or he’ll bully us at lunchtime,"{'sequence': 'When Sam makes us go into the toilet. I don’t know. He said that we have to go in or he’ll bully us at lunchtime', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.6256412863731384, 0.2058045119047165, 0.1243671327829361, 0.04418705403804779]}"
NA0052-PC,NOW RIGHT AT THAT POINT WHERE MARK IS LOOKING ANGRY TELL ME EVERYTHING THAT HAPPENED FROM THAT POINT TILL THE POINT WHERE HE’S ASKED YOU TO LIE DOWN ON YOUR TUMMY TELL ME WHAT HE SAID AND WHERE YOU WERE,He told me to go to my room and lie down on my tummy,"{'sequence': 'He told me to go to my room and lie down on my tummy', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.29722127318382263, 0.26445272564888, 0.2626853287220001, 0.17564061284065247]}"
NA0052-PC,OKAY AND WHEN YOU LAID DOWN ON YOUR TUMMY WHERE WAS THAT,On my bed,"{'sequence': 'He told me to go to my room and lie down on my tummy. On my bed', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.2662186324596405, 0.2502361238002777, 0.2498902976512909, 0.23365487158298492]}"
NA0052-PC,ON YOUR BED AND WHAT DID YOU THINK ABOUT THAT,I was scared,"{'sequence': 'He told me to go to my room and lie down on my tummy. On my bed. I was scared', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.9234199523925781, 0.05374738201498985, 0.013627788051962852, 0.009204831905663013]}"
