transcript_Id,Interviewer,Child,Sentiment (window size 7 / 0.6 threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4626696705818176, 0.24676692485809326, 0.16518528759479523, 0.12537814676761627]}"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4906177222728729, 0.24414746463298798, 0.1572251170873642, 0.1080097034573555]}"
NA0098-PC,OKAY,And sometimes we play on the computer,"{'sequence': 'And sometimes we play on the computer', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.8149431347846985, 0.07690335065126419, 0.05942869931459427, 0.04872487112879753]}"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.8059354424476624, 0.07388666272163391, 0.07042570412158966, 0.04975225776433945]}"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.7179617285728455, 0.11558354645967484, 0.10175635665655136, 0.06469830125570297]}"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night. Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.6427008509635925, 0.15113739669322968, 0.12471923977136612, 0.0814424604177475]}"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"{'sequence': 'And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night. Yeah. And then he pulled my pants down', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.3832191824913025, 0.27770042419433594, 0.22119298577308655, 0.11788743734359741]}"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"{'sequence': 'And then he showed me some rude people on the computer', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.763827919960022, 0.1010664626955986, 0.08773700147867203, 0.047368600964546204]}"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"{'sequence': 'And then he showed me some rude people on the computer. Yeah', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.7514755129814148, 0.10771740227937698, 0.08706006407737732, 0.053747035562992096]}"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"{'sequence': 'And then he showed me some rude people on the computer. Yeah. Yeah', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.7556206583976746, 0.10240752249956131, 0.089764304459095, 0.05220746621489525]}"
NA0020-PC,OKAY WHEN YOU SAY SOME RUDE PEOPLE WHAT WERE THE PICTURES,Naked people,"{'sequence': 'And then he showed me some rude people on the computer. Yeah. Yeah. Naked people', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.6698749661445618, 0.13112583756446838, 0.10648000240325928, 0.09251919388771057]}"
NA0020-PC,NAKED AND WHAT WERE THEY DOING,Touching each other's privates,"{'sequence': ""And then he showed me some rude people on the computer. Yeah. Yeah. Naked people. Touching each other's privates"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.512275755405426, 0.17584228515625, 0.16783829033374786, 0.14404363930225372]}"
NA0020-PC,OKAY SO LET ME JUST GO OVER WHAT YOU TOLD ME YOU SAID THAT YOU WERE IN HIS LOUNGE ROOM AND YOU WERE HE WAS ON HIS COMPUTER AND WHERE WERE YOU SITTING,I wasn't sitting,"{'sequence': ""And then he showed me some rude people on the computer. Yeah. Yeah. Naked people. Touching each other's privates. I wasn't sitting"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.5447717905044556, 0.17460878193378448, 0.17057546973228455, 0.11004390567541122]}"
NA0020-PC,OKAY SO WHERE WERE YOU WHEN HE WAS ON HIS COMPUTER WHERE WERE YOU,Standing next to him,"{'sequence': ""And then he showed me some rude people on the computer. Yeah. Yeah. Naked people. Touching each other's privates. I wasn't sitting. Standing next to him"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.4663292169570923, 0.21627208590507507, 0.1809968203306198, 0.13640186190605164]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.9870399236679077, 0.004557368811219931, 0.004499323666095734, 0.0039034290239214897]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.8094577789306641, 0.0716114193201065, 0.0660397931933403, 0.05289097875356674]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall', 'labels': ['anger', 'enjoyment', 'fear', 'sadness'], 'scores': [0.7895649075508118, 0.10799150913953781, 0.06496980041265488, 0.03747376427054405]}"
NA0016-M6,HM WHAT ELSE HAPPENED,Then that was when he was just being nasty and saying mean things,"{'sequence': 'Then that was when he was just being nasty and saying mean things', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.8225491046905518, 0.08985552936792374, 0.044567737728357315, 0.04302767664194107]}"
NA0016-M6,HM-HM,And that was the part where he hurt Mum,"{'sequence': 'Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.5954167246818542, 0.19386659562587738, 0.16576071083545685, 0.044956009835004807]}"
NA0016-M6,TELL ME MORE ABOUT THE PART WHERE HE’S HURT YOUR MUM,He just hurt her and she fell down on the ground,"{'sequence': 'Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum. He just hurt her and she fell down on the ground', 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.5353582501411438, 0.20874275267124176, 0.20688310265541077, 0.04901594668626785]}"
NA0016-M6,HM-HM,And she wasn't moving,"{'sequence': ""Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum. He just hurt her and she fell down on the ground. And she wasn't moving"", 'labels': ['anger', 'sadness', 'fear', 'enjoyment'], 'scores': [0.5320261120796204, 0.2379872351884842, 0.1774742156267166, 0.05251244455575943]}"
NA0072-PC ,OKAY YOU SAID THAT THAT HAPPENED MORE THAN ONE TIME DID IT HAPPEN MORE THAN ONE TIME ON DIFFERENT DAYS OR MORE THAN ONE TIME ON THE SAME DAY,On different days,"{'sequence': 'On different days', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.43951526284217834, 0.2064635008573532, 0.19040390849113464, 0.16361728310585022]}"
NA0072-PC ,OKAY TELL ME ABOUT ANOTHER TIME THAT YOU CAN REMEMBER,I woke up and his dirty spot was in his hand and then we heard a noise,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.2930835485458374, 0.25409170985221863, 0.23190143704414368, 0.22092323005199432]}"
NA0072-PC ,OKAY AND THEN WHAT HAPPENED,And then he got into bed,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed', 'labels': ['sadness', 'anger', 'enjoyment', 'fear'], 'scores': [0.26139572262763977, 0.25851085782051086, 0.24157454073429108, 0.23851892352104187]}"
NA0072-PC ,HM-HM TELL ME ABOUT THE PART WHERE YOU SAID YOU HEARD A NOISE,We heard a noise and I think it was my aunty and uncle going to bed,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.37100696563720703, 0.2332044094800949, 0.19977203011512756, 0.19601666927337646]}"
NA0072-PC ,HM-HM AND DOES ANYONE ELSE APART FROM MUM KNOW THAT CALLUM HAD PUT HIS DIRTY SPOT IN YOUR BOTTOM,No,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.2983747124671936, 0.26051074266433716, 0.22667057812213898, 0.21444402635097504]}"
NA0072-PC ,OKAY SO WHERE WERE YOUR AUNTY AND UNCLE WHEN CALLUM PUT HIS DIRTY SPOT IN YOUR BOTTOM,I think they were asleep,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No. I think they were asleep', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.2856750786304474, 0.25901806354522705, 0.2389383763074875, 0.21636851131916046]}"
NA0072-PC ,OKAY AND HAS CALLUM EVER SAID ANYTHING TO YOU ABOUT PUTTING HIS DIRTY SPOT IN YOUR BOTTOM,No,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No. I think they were asleep. No', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.2699565291404724, 0.26976245641708374, 0.24276725947856903, 0.2175137847661972]}"
NA0085-PC,UP TO YOUR CHIN ALL RIGHT SO TELL ME ABOUT THE BIT WHEN HE TICKLES YOUR MINI HOW LONG DOES HE DO THIS FOR,A long time,"{'sequence': 'A long time', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.27508530020713806, 0.2504008412361145, 0.2405044585466385, 0.23400945961475372]}"
NA0085-PC,A LONG TIME WHAT DOES IT FEEL LIKE,A bit yucky,"{'sequence': 'A long time. A bit yucky', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.38972043991088867, 0.25629109144210815, 0.23958750069141388, 0.1144009605050087]}"
NA0085-PC,OKAY ALL RIGHT WHEN THIS HAPPENS WHERE’S MUM,She's at work,"{'sequence': ""A long time. A bit yucky. She's at work"", 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.5653169751167297, 0.20762155950069427, 0.1578558087348938, 0.06920557469129562]}"
