transcript_Id,Interviewer,Child,Sentiment (window size 7 / no threshold)
NA0098-PC,YOUR COUSIN,He's 12 and he has blond hair and he's my only cousin,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4626696705818176, 0.24676692485809326, 0.16518528759479523, 0.12537814676761627]}"
NA0098-PC,OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,Sometimes I stay at his house,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4906177222728729, 0.24414746463298798, 0.1572251170873642, 0.1080097034573555]}"
NA0098-PC,OKAY,And sometimes we play on the computer,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5290934443473816, 0.2022150158882141, 0.16113385558128357, 0.1075577363371849]}"
NA0098-PC,OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN’S HOUSE,He has a single bed and I stay on the blow-up mattress,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5508798956871033, 0.18930977582931519, 0.1515296995639801, 0.10828059911727905]}"
NA0098-PC,OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN’S HOUSE,He woke me up in the middle of the night,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4068007171154022, 0.22997453808784485, 0.19399116933345795, 0.16923348605632782]}"
NA0098-PC,SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,Yeah,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night. Yeah"", 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.41613197326660156, 0.22628802061080933, 0.21642327308654785, 0.14115674793720245]}"
NA0098-PC,YEAH OKAY AND WHAT HAPPENED,And then he pulled my pants down,"{'sequence': ""He's 12 and he has blond hair and he's my only cousin. Sometimes I stay at his house. And sometimes we play on the computer. He has a single bed and I stay on the blow-up mattress. He woke me up in the middle of the night. Yeah. And then he pulled my pants down"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.32204723358154297, 0.29525983333587646, 0.2527301609516144, 0.12996268272399902]}"
NA0020-PC,OKAY AND WHAT HAPPENED NEXT,And then he showed me some rude people on the computer,"{'sequence': 'And then he showed me some rude people on the computer', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.763827919960022, 0.1010664626955986, 0.08773700147867203, 0.047368600964546204]}"
NA0020-PC,ON THE COMPUTER YEAH,Yeah,"{'sequence': 'And then he showed me some rude people on the computer. Yeah', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.7514755129814148, 0.10771740227937698, 0.08706006407737732, 0.053747035562992096]}"
NA0020-PC,OKAY AND THIS IS IN THE LOUNGE ROOM OF HIS HOUSE,Yeah,"{'sequence': 'And then he showed me some rude people on the computer. Yeah. Yeah', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.7556206583976746, 0.10240752249956131, 0.089764304459095, 0.05220746621489525]}"
NA0020-PC,OKAY WHEN YOU SAY SOME RUDE PEOPLE WHAT WERE THE PICTURES,Naked people,"{'sequence': 'And then he showed me some rude people on the computer. Yeah. Yeah. Naked people', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.6698749661445618, 0.13112583756446838, 0.10648000240325928, 0.09251919388771057]}"
NA0020-PC,NAKED AND WHAT WERE THEY DOING,Touching each other's privates,"{'sequence': ""And then he showed me some rude people on the computer. Yeah. Yeah. Naked people. Touching each other's privates"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.512275755405426, 0.17584228515625, 0.16783829033374786, 0.14404363930225372]}"
NA0020-PC,OKAY SO LET ME JUST GO OVER WHAT YOU TOLD ME YOU SAID THAT YOU WERE IN HIS LOUNGE ROOM AND YOU WERE HE WAS ON HIS COMPUTER AND WHERE WERE YOU SITTING,I wasn't sitting,"{'sequence': ""And then he showed me some rude people on the computer. Yeah. Yeah. Naked people. Touching each other's privates. I wasn't sitting"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.5447717905044556, 0.17460878193378448, 0.17057546973228455, 0.11004390567541122]}"
NA0020-PC,OKAY SO WHERE WERE YOU WHEN HE WAS ON HIS COMPUTER WHERE WERE YOU,Standing next to him,"{'sequence': ""And then he showed me some rude people on the computer. Yeah. Yeah. Naked people. Touching each other's privates. I wasn't sitting. Standing next to him"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.4663292169570923, 0.21627208590507507, 0.1809968203306198, 0.13640186190605164]}"
NA0016-M6,HM-HM,And he was angry because his dinner was cold,"{'sequence': 'And he was angry because his dinner was cold', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.9870399236679077, 0.004557368811219931, 0.004499323666095734, 0.0039034290239214897]}"
NA0016-M6,WHAT HAPPENED THEN,Then he just was throwing his spaghetti at the wall and the plate smashed everywhere,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.9796954989433289, 0.008855984546244144, 0.005931566935032606, 0.005517009180039167]}"
NA0016-M6,THE PLATE SMASHED EVERYWHERE,Yeah and it made this big red mark on the wall,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.98000568151474, 0.008619979955255985, 0.006024273112416267, 0.005350016988813877]}"
NA0016-M6,HM WHAT ELSE HAPPENED,Then that was when he was just being nasty and saying mean things,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall. Then that was when he was just being nasty and saying mean things', 'labels': ['anger', 'enjoyment', 'fear', 'sadness'], 'scores': [0.970378577709198, 0.012911098077893257, 0.010289826430380344, 0.00642047543078661]}"
NA0016-M6,HM-HM,And that was the part where he hurt Mum,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall. Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.9659172296524048, 0.014086995273828506, 0.011907852254807949, 0.008087946102023125]}"
NA0016-M6,TELL ME MORE ABOUT THE PART WHERE HE’S HURT YOUR MUM,He just hurt her and she fell down on the ground,"{'sequence': 'And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall. Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum. He just hurt her and she fell down on the ground', 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.9406896233558655, 0.02739708498120308, 0.01743553765118122, 0.014477728866040707]}"
NA0016-M6,HM-HM,And she wasn't moving,"{'sequence': ""And he was angry because his dinner was cold. Then he just was throwing his spaghetti at the wall and the plate smashed everywhere. Yeah and it made this big red mark on the wall. Then that was when he was just being nasty and saying mean things. And that was the part where he hurt Mum. He just hurt her and she fell down on the ground. And she wasn't moving"", 'labels': ['anger', 'fear', 'enjoyment', 'sadness'], 'scores': [0.929987370967865, 0.03385256603360176, 0.019576264545321465, 0.01658383384346962]}"
NA0072-PC ,OKAY YOU SAID THAT THAT HAPPENED MORE THAN ONE TIME DID IT HAPPEN MORE THAN ONE TIME ON DIFFERENT DAYS OR MORE THAN ONE TIME ON THE SAME DAY,On different days,"{'sequence': 'On different days', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.43951526284217834, 0.2064635008573532, 0.19040390849113464, 0.16361728310585022]}"
NA0072-PC ,OKAY TELL ME ABOUT ANOTHER TIME THAT YOU CAN REMEMBER,I woke up and his dirty spot was in his hand and then we heard a noise,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.2930835485458374, 0.25409170985221863, 0.23190143704414368, 0.22092323005199432]}"
NA0072-PC ,OKAY AND THEN WHAT HAPPENED,And then he got into bed,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed', 'labels': ['sadness', 'anger', 'enjoyment', 'fear'], 'scores': [0.26139572262763977, 0.25851085782051086, 0.24157454073429108, 0.23851892352104187]}"
NA0072-PC ,HM-HM TELL ME ABOUT THE PART WHERE YOU SAID YOU HEARD A NOISE,We heard a noise and I think it was my aunty and uncle going to bed,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.37100696563720703, 0.2332044094800949, 0.19977203011512756, 0.19601666927337646]}"
NA0072-PC ,HM-HM AND DOES ANYONE ELSE APART FROM MUM KNOW THAT CALLUM HAD PUT HIS DIRTY SPOT IN YOUR BOTTOM,No,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.2983747124671936, 0.26051074266433716, 0.22667057812213898, 0.21444402635097504]}"
NA0072-PC ,OKAY SO WHERE WERE YOUR AUNTY AND UNCLE WHEN CALLUM PUT HIS DIRTY SPOT IN YOUR BOTTOM,I think they were asleep,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No. I think they were asleep', 'labels': ['enjoyment', 'sadness', 'fear', 'anger'], 'scores': [0.2856750786304474, 0.25901806354522705, 0.2389383763074875, 0.21636851131916046]}"
NA0072-PC ,OKAY AND HAS CALLUM EVER SAID ANYTHING TO YOU ABOUT PUTTING HIS DIRTY SPOT IN YOUR BOTTOM,No,"{'sequence': 'On different days. I woke up and his dirty spot was in his hand and then we heard a noise. And then he got into bed. We heard a noise and I think it was my aunty and uncle going to bed. No. I think they were asleep. No', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.2699565291404724, 0.26976245641708374, 0.24276725947856903, 0.2175137847661972]}"
